231717,Blue Magic,Spell
231718,The Echocentrics,Canyon (feat. Alex Maas & Jazz Mills)
231719,Anthony Hamilton,I Cry
231720,Jill Scott,Show Me
231721,John Legend,Refuge (When It's Cold Outside)
231722,Nessly,Love You More
231723,Set Mo,Down the Line
231724,Louis Prima,I Wan'na Be Like You (The Monkey Song)
231725,George Jackson,"Aretha, Sing One for Me"
231726,Gary Clark Jr.,Third Stone from the Sun / If You Love Me Like You Say
231727,The Temptations,Pretty Wings
231728,Hiatus Kaiyote,Mobius Streak
231729,Billie Holiday,Foolin' Myself (with Teddy Wilson & His Orchestra)
231730,Brenton Wood,Can You Dig It
231731,Elderbrook,Put It Down
231732,Ms. Jody,When Your Give a Damn Just Don't Give a Damn Anymore
231733,Bobby Darin,Call Me Irresponsible
231734,Bill Withers,Let It Be
231735,Brick,Dazz - Dazz Disco Mix
231736,Opia,Secrets (feat. Sam Fischer)
231737,Izzy Bizu,Mad Behaviour
231738,Joe,Worst Case Scenario
231739,Tep No,"Karma, You Got Owned"
231740,Regina Belle,Baby Come To Me
231741,Foreign Air,Turning
231742,The Main Squeeze,#W W C
231743,BJ The Chicago Kid,Falling On My Face
231744,After 7,Nights Like This
231745,Big Bub,Zoom
231746,MELVV,Blank (feat. Kennedi)
231747,Seal,Prayer For The Dying
231748,Lianne La Havas,Grow
231749,Sports,People Can't Stop Chillin'
231750,Aretha Franklin,Rock-A-Bye Your Baby with a Dixie Melody
231751,Palace,Head Above The Water
231752,"Bobby ""Blue"" Bland",Ain't No Sunshine When She's Gone
231753,Jordan Rakei,Lost - Live from Spotify London
231754,Etta James,It's a Man's Man's Man's World
231755,The Equatics,The Touch Of You
231756,Alicia Keys,She Don't Really Care_1 Luv
231757,Lizz Wright,Seems I’m Never Tired Lovin’ You
231758,Aretha Franklin,Hello Sunshine
231759,Aquilo,Now & Here
231760,Snoh Aalegra,Home - Remix
231761,Mothica,Up in Flames - Synchronice Remix
231762,Kyle Dion,Cherry Blossom
231763,Alex Lustig,Under Pressure
231764,Kyle Dion,Hands to Yourself
231765,Brandy,Right Here (Departed)
231766,Brian McKnight,"Shoulda, Woulda, Coulda - Main"
231767,Alicia Keys,Girlfriend
231768,Nina Simone,Tomorrow Is My Turn
231769,Nina Simone,"Li'l Liza Jane - Live Version - Newport Jazz Festival, June 30, 1960"
231770,Luther Vandross,Your Secret Love
231771,Luther Vandross,Any Love
231772,Mint Condition,Not My Daddy (feat. Kelly Price)
231773,Lounge FM,Love Will Let You Down
231774,Rag'n'Bone Man,No Mother
231775,The Gap Band,Humpin'
231776,Otis Redding,Papa's Got a Brand New Bag - Live; Whiskey Version
231777,RAC,Nostalgia (RAC Mix)
231778,Four Tops,Standing In The Shadows Of Love
231779,The Delfonics,Walk Right Up to the Sun
231780,El Michels Affair,You're All I Need
231781,The Dip,Starcastle
231782,The Blackbyrds,Rock Creek Park
231783,The Temptations,Shakey Ground
231784,L.T.D.,Concentrate On You
231785,The Isley Brothers,Move Your Body
231786,Melody Gardot,Goodnite
231787,Tyrese,On Top Of Me
231788,Crooked Colours,Perfect Run
231789,Cameo,Why Have I Lost You
231790,Booker T. & the M.G.'s,Hip Hug-Her
231791,Nina Simone,My Way - Remastered
231792,Omar Cunningham,The Beauty Shop
231793,Tep No,Fighting
231794,Zola Blood,Good Love
231795,Love Unlimited,It May Be Winter Outside (But In My Heart It's Spring)
231796,Rhye,Softly - Mahogany Sessions
231797,Ralph,Tables Have Turned
231798,Zoot Sims,Evening In Paris
231799,Janelle Monáe,Dance or Die - feat. Saul Williams
231800,Childish Major,Shame
231801,Majik,Save Me - Skeleton Mix
231802,Liam Bailey,Stun Me
231803,Bigg Robb,Sugar Shack (Line Dance Remix) (feat. Mz Jackson)
231804,John Legend,Merry Christmas Baby / Give Love on Christmas Day
231805,Curtis Mayfield,Now You're Gone
231806,Joe Bataan,I Wish You Love (Part 1)
231807,ford.,Warmth
231808,Kyle Dion,69 Camaro
231809,Ella Vos,Lonely Road
231810,Jay Prince,LUV ME
231811,Dorothy Ashby,Nabu Corfa
231812,Allan Rayman,All at Once
231813,The Drifters,Saturday Night at the Movies
231814,Sophie Meiers,Willow Tree
231815,Red Garland,Estrellita
231816,MANILA GREY,Change Me
231817,Red Garland,(I'm Afraid) The Masquerade Is Over
231818,Al Green,Belle
231819,MANILA GREY,Midnight
231820,Busty and the Bass,Dance with Someone!!!
231821,LION BABE,Satisfy My Love
231822,Common,They Say
231823,Gary Clark Jr.,You Saved Me - Live
231824,John Legend,"I Love, You Love"
231825,Sam Cooke,Nobody Knows You When You're Down And Out - Live
231826,Fabian Secon,What Do I Live For
