Song_ID,﻿artist_name,track_name
1,Henri Salvador,C'est beau de faire un Show
2,Martin & les fées,Perdu d'avance (par Gad Elmaleh)
3,Joseph Williams,Don't Let Me Be Lonely Tonight
4,Henri Salvador,Dis-moi Monsieur Gordon Cooper
5,Fabien Nataf,Ouverture
6,Henri Salvador,Le petit souper aux chandelles
7,Martin & les fées,"Premières recherches (par Paul Ventimila, Lorie Pester, Véronique Jannot, Michèle Laroque & Gérard Lenorman)"
8,Laura Mayne,Let Me Let Go
9,Chorus,Helka
10,Le Club des Juniors,Les bisous des bisounours
11,Leopold Stokowski,Symphony No.4 In E Minor Op.98 : IV. Allegro Energico E Passionato
12,Randy Newman,The Hanging (Maverick - Original Motion Picture Score) - Remastered
13,Idoles De La Musique,J'ai demandé à la lune
14,Chorus,Mangala Aarti
15,Richard M. Sherman,Keys of Love
16,Michel Roux,Les aventures d'Arsène Lupin: 813 - Partie 6
17,Jean Claude Corbel,Diane
18,Bernard Minet,Ultra Man 80
19,Henri Salvador,Veunise
20,Amalya,Ladies And Gentlemen
21,Martin & les fées,"Tout est possible (par Anggun, Dany Brillant, Garou, Gérard Lenorman, Julie Zenatti, Lisa Angell, Lorie Pester, Natasha St-Pier, Patrick Fiori, Paul Ventimila, Sara Carreira, Veronique Jannot & Vincent Niclo)"
22,Dorothée,Clic clac cloc
23,Henri Salvador,Monsieur Boum Boum
24,Jean Claude Corbel,Pourquoi aller plus loin ?
25,Henri Salvador,Quand je monte chez toi
26,Jean Piat,Comme minuit sonnait
27,Henri Salvador,Le Fêtard
28,Lucie Dolene,Le mariage des poupées
29,Henri Salvador,Une chanson douce
30,Chorus,Mangani – Do Banjare / Amba Heth
31,Chorus,A ty się śmiejesz ze mnie
32,Martin & les fées,Une journée d'école qui s'achève (par Véronique Jannot)
33,Henri Salvador,C Est Le Be Bop
34,Henri Salvador,La Samba De Là-Bas
35,Chorus,Ambarsare Diyan Warhiyan
36,Henri Salvador,Silence on tourne
37,Chorus,For the Game
38,Henri Salvador,Quand un artiste - live
39,Richard M. Sherman,Afterglow
40,Larry Groce,"Sailing, Sailing"
41,Chorus,Tehni Pe Kisi Shajar
42,Leopold Stokowski,"Bourrée, From English Suite No. 2, BWV 807"
43,Henri Salvador,La Vie grise
44,Patrick Rocca,To Be or Not to Be
45,Ken Page,Dancing with Gene
46,Ken Page,Penn Station - Seesaw
47,Bernard Minet,Dragon Ball GT
48,Debbie Davis,I'll Feel Much Better When You Cry
49,Henri Salvador,"La samba de là-bas (De l'opérette ""Le Chevalier Bayard"")"
50,Dorothée,J'ai retrouvé ma valise
51,Claire Guyot,Le silence
52,Chantal Goya,Animauxville (Départ) - Live
53,Henri Salvador,Sketch producteur (suite)
54,Lucie Dolene,Sphinx
55,Jean Piat,L'Âne chargé d'éponges et l'Âne chargé de sel
56,Justin Hurwitz,"Rialto - From ""La La Land"" Score"
57,Chorus,Stous athanatous nekrous (To Immortal Deads)
58,Henri Salvador,Bon Dieu qu'elle est con - live
59,Randy Newman,Jack To The Rescue - Meet The Parents/Soundtrack
60,Chorus,Shree Ram Chant
61,Marie Ruggieri,"Oh quel chien/Il se traîne - From ""Lady and the Tramp""/French Soundtrack Version"
62,Chorus,Mangal Aarti
63,Henri Salvador,Malgré tes serments
64,Henri Salvador,Audustin ! Y'a quelqu'un qui te demande
65,Chorus,Nadipinche Naa Naayaka
66,Karine Costa,Super Insomniaque
67,Henri Salvador,Papa loves mambo
68,Chorus,Om Jayanti Mangla
69,Dorothée,J'ai vidé ma valise
70,Chorus,Takhti Par Takhti
71,Fabien Nataf,I Try
72,Pascal Laffarge,Il pleut bergère
73,Frank Churchill,Snow White: Taas paiva kaunein on (Some Day My Prince Will Come)
74,Chorus,Baaramma - Bit
75,Jean Claude Corbel,Le Vilain Petit Canard 2
76,Jean Claude Corbel,Les poissons voyageurs
77,Dominique Tirmont,La Toulousaine
78,Henri Salvador,Monsieur Le Bon Dieu
79,Jean Claude Corbel,Le voyage à Lilliput
80,Jean Claude Corbel,Le Chat Botté 4
81,Chorus,Tsamikos Horos (Tsamikos Dance)
82,Chorus,Lalitha Parameshwari
83,Jean Claude Corbel,Le Petit Poucet 2
84,Leopold Stokowski,"We All Believe In One God, Giant Fugue, BWV 680"
85,Dominique Tirmont,La petite diligence
86,Debbie Davis,Rap-a-Cito
87,Chorus,Thandeye Oh
88,Chorus,Banga Aamar
89,Bernard Minet,Dis-moi monsieur Bernard Minet
90,Chorus,Sai Parameshwar Sai Karuneshwar
91,Chorus,Shanthi Koru
92,Chorus,Aa Divyanaama
93,Martin & les fées,Le plus beau de tes rêves (par Anggun)
94,Henri Salvador,Chanson surrealiste
95,Henri Salvador,Grosse Fille Ne Pleure Pas - Remastered
96,Claire Guyot,Assise au bord du monde
97,Chorus,Koti Chennaya(Vol.1 &amp; 2)
98,Henri Salvador,"Dis-moi qu'tu m'aimes, rock"
99,Richard M. Sherman,Forgotten Dreams
100,Chorus,High (feat. Syross & Messieh)
101,Chorus,Kaisi Anokhi Mehfil
102,Henri Salvador,24 heures par jour
103,Choeurs,Georges Bizet : Sur la place
104,Chorus,Daivapithave
105,Chorus,Ven a una nave espacial
106,Henri Salvador,Bon appétit mademoiselle
107,Chorus,Shri Gayatri Mahamantra
108,Larry Groce,Choices
109,Leopold Stokowski,Symphony No.1 In C Major : IV. Allegro Vivace
110,Debbie Davis,You Know I'm No Good
111,Chorus,Czy Pamiętasz
112,Les Hérissons,Mabrouka Ananas ma Nana
113,Henri Salvador,Cherche la rose
114,Chorus,I Denne Søte Juletid: Kom La Oss Gå Og Se!
115,Michel Roux,Les aventures d'Arsène Lupin: 813 - Partie 5
116,Debbie Davis,Mele Kalikimaka
117,Chorus,Swami Samartha Majhe Aai
118,Randy Newman,This Is Gonna Be Good
119,Idoles De La Musique,Marie
120,Jean Claude Corbel,Tom Pouce 1
121,Jean Claude Corbel,Les premiers mammifères
122,Martin & les fées,"Une énigmatique jeune femme blonde (par Véronique Jannot, Paul Ventimila & Arielle Dombasle)"
123,Bernard Minet,Juliette je t'aime - Générique
124,Henri Salvador,Il Pleut Bergère - Remastered
125,Jean Claude Corbel,Aladin 1
126,Larry Morey,The Silly Song (The Dwarfs' Yodel Song)
127,Henri Salvador,Mazurka Pour Ma Mie
